test	layer	head	upper	lower
collatz	0	0	24070	2
collatz	0	1	24070	2
collatz	0	2	24070	2
collatz	0	3	24070	2
collatz	0	4	2	2
collatz	0	5	3	2
collatz	0	6	3	2
collatz	0	7	1	1
collatz	0	8	1	1
collatz	0	9	1	1
collatz	0	10	1	1
collatz	0	11	1	1
collatz	0	12	1	1
collatz	0	13	1	1
collatz	0	14	1	1
collatz	0	15	1	1
collatz	0	16	1	1
collatz	0	17	1	1
collatz	0	18	1	1
collatz	1	0	1	1
collatz	1	1	1	1
collatz	1	2	3	2
collatz	1	3	3	2
collatz	1	4	3	2
collatz	1	5	1	1
collatz	1	6	1	1
collatz	1	7	1	1
collatz	1	8	1	1
collatz	1	9	1	1
collatz	1	10	1	1
collatz	1	11	1	1
collatz	1	12	1	1
collatz	1	13	1	1
collatz	1	14	1	1
collatz	1	15	1	1
collatz	1	16	1	1
collatz	1	17	1	1
collatz	1	18	1	1
collatz	2	0	24070	2
collatz	2	1	24070	2
collatz	2	2	24070	2
collatz	2	3	24070	2
collatz	2	4	24070	2
collatz	2	5	24070	2
collatz	2	6	24070	2
collatz	2	7	24070	2
collatz	2	8	3	2
collatz	2	9	3	2
collatz	2	10	3	2
collatz	2	11	1	1
collatz	2	12	1	1
collatz	2	13	1	1
collatz	2	14	1	1
collatz	2	15	1	1
collatz	2	16	1	1
collatz	2	17	1	1
collatz	2	18	1	1
collatz	3	0	71	4
collatz	3	1	25	2
collatz	3	2	25	2
collatz	3	3	25	2
collatz	3	4	6	2
collatz	3	5	3	2
collatz	3	6	3	2
collatz	3	7	3	2
collatz	3	8	3	2
collatz	3	9	3	2
collatz	3	10	1	1
collatz	3	11	1	1
collatz	3	12	1	1
collatz	3	13	1	1
collatz	3	14	1	1
collatz	3	15	1	1
collatz	3	16	1	1
collatz	3	17	1	1
collatz	3	18	1	1
collatz	4	0	24070	2
collatz	4	1	24070	2
collatz	4	2	24070	2
collatz	4	3	45	5
collatz	4	4	3	2
collatz	4	5	3	2
collatz	4	6	3	2
collatz	4	7	3	2
collatz	4	8	1	1
collatz	4	9	1	1
collatz	4	10	1	1
collatz	4	11	1	1
collatz	4	12	1	1
collatz	4	13	1	1
collatz	4	14	1	1
collatz	4	15	1	1
collatz	4	16	1	1
collatz	4	17	1	1
collatz	4	18	1	1
collatz	5	0	1	1
collatz	5	1	1	1
collatz	5	2	1	1
collatz	5	3	1	1
collatz	5	4	1	1
collatz	5	5	1	1
collatz	5	6	1	1
collatz	5	7	1	1
collatz	5	8	1	1
collatz	5	9	1	1
collatz	5	10	1	1
collatz	5	11	1	1
collatz	5	12	1	1
collatz	5	13	1	1
collatz	5	14	1	1
collatz	5	15	1	1
collatz	5	16	1	1
collatz	5	17	1	1
collatz	5	18	1	1
collatz	6	0	1	1
collatz	6	1	1	1
collatz	6	2	1	1
collatz	6	3	1	1
collatz	6	4	1	1
collatz	6	5	1	1
collatz	6	6	1	1
collatz	6	7	1	1
collatz	6	8	1	1
collatz	6	9	1	1
collatz	6	10	1	1
collatz	6	11	1	1
collatz	6	12	1	1
collatz	6	13	1	1
collatz	6	14	1	1
collatz	6	15	1	1
collatz	6	16	1	1
collatz	6	17	1	1
collatz	6	18	1	1
