test	layer	head	upper	lower
min_cost_matching	0	0	35708	2
min_cost_matching	0	1	35708	2
min_cost_matching	0	2	35708	2
min_cost_matching	0	3	35708	2
min_cost_matching	0	4	2	2
min_cost_matching	0	5	3	2
min_cost_matching	0	6	3	2
min_cost_matching	0	7	1	1
min_cost_matching	0	8	1	1
min_cost_matching	0	9	1	1
min_cost_matching	0	10	1	1
min_cost_matching	0	11	1	1
min_cost_matching	0	12	1	1
min_cost_matching	0	13	1	1
min_cost_matching	0	14	1	1
min_cost_matching	0	15	1	1
min_cost_matching	0	16	1	1
min_cost_matching	0	17	1	1
min_cost_matching	0	18	1	1
min_cost_matching	1	0	1	1
min_cost_matching	1	1	1	1
min_cost_matching	1	2	3	2
min_cost_matching	1	3	3	2
min_cost_matching	1	4	3	2
min_cost_matching	1	5	1	1
min_cost_matching	1	6	1	1
min_cost_matching	1	7	1	1
min_cost_matching	1	8	1	1
min_cost_matching	1	9	1	1
min_cost_matching	1	10	1	1
min_cost_matching	1	11	1	1
min_cost_matching	1	12	1	1
min_cost_matching	1	13	1	1
min_cost_matching	1	14	1	1
min_cost_matching	1	15	1	1
min_cost_matching	1	16	1	1
min_cost_matching	1	17	1	1
min_cost_matching	1	18	1	1
min_cost_matching	2	0	35708	2
min_cost_matching	2	1	35708	2
min_cost_matching	2	2	35708	2
min_cost_matching	2	3	35708	2
min_cost_matching	2	4	35708	2
min_cost_matching	2	5	35708	2
min_cost_matching	2	6	35708	2
min_cost_matching	2	7	35708	2
min_cost_matching	2	8	3	2
min_cost_matching	2	9	3	2
min_cost_matching	2	10	3	2
min_cost_matching	2	11	1	1
min_cost_matching	2	12	1	1
min_cost_matching	2	13	1	1
min_cost_matching	2	14	1	1
min_cost_matching	2	15	1	1
min_cost_matching	2	16	1	1
min_cost_matching	2	17	1	1
min_cost_matching	2	18	1	1
min_cost_matching	3	0	119	4
min_cost_matching	3	1	5	2
min_cost_matching	3	2	5	2
min_cost_matching	3	3	5	2
min_cost_matching	3	4	6	2
min_cost_matching	3	5	3	2
min_cost_matching	3	6	3	2
min_cost_matching	3	7	3	2
min_cost_matching	3	8	3	2
min_cost_matching	3	9	3	2
min_cost_matching	3	10	1	1
min_cost_matching	3	11	1	1
min_cost_matching	3	12	1	1
min_cost_matching	3	13	1	1
min_cost_matching	3	14	1	1
min_cost_matching	3	15	1	1
min_cost_matching	3	16	1	1
min_cost_matching	3	17	1	1
min_cost_matching	3	18	1	1
min_cost_matching	4	0	35708	2
min_cost_matching	4	1	35708	2
min_cost_matching	4	2	35708	2
min_cost_matching	4	3	646	5
min_cost_matching	4	4	3	2
min_cost_matching	4	5	3	2
min_cost_matching	4	6	3	2
min_cost_matching	4	7	3	2
min_cost_matching	4	8	1	1
min_cost_matching	4	9	1	1
min_cost_matching	4	10	1	1
min_cost_matching	4	11	1	1
min_cost_matching	4	12	1	1
min_cost_matching	4	13	1	1
min_cost_matching	4	14	1	1
min_cost_matching	4	15	1	1
min_cost_matching	4	16	1	1
min_cost_matching	4	17	1	1
min_cost_matching	4	18	1	1
min_cost_matching	5	0	1	1
min_cost_matching	5	1	1	1
min_cost_matching	5	2	1	1
min_cost_matching	5	3	1	1
min_cost_matching	5	4	1	1
min_cost_matching	5	5	1	1
min_cost_matching	5	6	1	1
min_cost_matching	5	7	1	1
min_cost_matching	5	8	1	1
min_cost_matching	5	9	1	1
min_cost_matching	5	10	1	1
min_cost_matching	5	11	1	1
min_cost_matching	5	12	1	1
min_cost_matching	5	13	1	1
min_cost_matching	5	14	1	1
min_cost_matching	5	15	1	1
min_cost_matching	5	16	1	1
min_cost_matching	5	17	1	1
min_cost_matching	5	18	1	1
min_cost_matching	6	0	1	1
min_cost_matching	6	1	1	1
min_cost_matching	6	2	1	1
min_cost_matching	6	3	1	1
min_cost_matching	6	4	1	1
min_cost_matching	6	5	1	1
min_cost_matching	6	6	1	1
min_cost_matching	6	7	1	1
min_cost_matching	6	8	1	1
min_cost_matching	6	9	1	1
min_cost_matching	6	10	1	1
min_cost_matching	6	11	1	1
min_cost_matching	6	12	1	1
min_cost_matching	6	13	1	1
min_cost_matching	6	14	1	1
min_cost_matching	6	15	1	1
min_cost_matching	6	16	1	1
min_cost_matching	6	17	1	1
min_cost_matching	6	18	1	1
