test	layer	head	upper	lower
sudoku	0	0	57555	2
sudoku	0	1	57555	2
sudoku	0	2	57555	2
sudoku	0	3	57555	2
sudoku	0	4	2	2
sudoku	0	5	3	2
sudoku	0	6	3	2
sudoku	0	7	1	1
sudoku	0	8	1	1
sudoku	0	9	1	1
sudoku	0	10	1	1
sudoku	0	11	1	1
sudoku	0	12	1	1
sudoku	0	13	1	1
sudoku	0	14	1	1
sudoku	0	15	1	1
sudoku	0	16	1	1
sudoku	0	17	1	1
sudoku	0	18	1	1
sudoku	1	0	1	1
sudoku	1	1	1	1
sudoku	1	2	3	2
sudoku	1	3	3	2
sudoku	1	4	3	2
sudoku	1	5	1	1
sudoku	1	6	1	1
sudoku	1	7	1	1
sudoku	1	8	1	1
sudoku	1	9	1	1
sudoku	1	10	1	1
sudoku	1	11	1	1
sudoku	1	12	1	1
sudoku	1	13	1	1
sudoku	1	14	1	1
sudoku	1	15	1	1
sudoku	1	16	1	1
sudoku	1	17	1	1
sudoku	1	18	1	1
sudoku	2	0	57555	2
sudoku	2	1	57555	2
sudoku	2	2	57555	2
sudoku	2	3	57555	2
sudoku	2	4	57555	2
sudoku	2	5	57555	2
sudoku	2	6	57555	2
sudoku	2	7	57555	2
sudoku	2	8	3	2
sudoku	2	9	3	2
sudoku	2	10	3	2
sudoku	2	11	1	1
sudoku	2	12	1	1
sudoku	2	13	1	1
sudoku	2	14	1	1
sudoku	2	15	1	1
sudoku	2	16	1	1
sudoku	2	17	1	1
sudoku	2	18	1	1
sudoku	3	0	47	3
sudoku	3	1	4	2
sudoku	3	2	4	2
sudoku	3	3	4	2
sudoku	3	4	3	2
sudoku	3	5	3	2
sudoku	3	6	3	2
sudoku	3	7	3	2
sudoku	3	8	3	2
sudoku	3	9	3	2
sudoku	3	10	1	1
sudoku	3	11	1	1
sudoku	3	12	1	1
sudoku	3	13	1	1
sudoku	3	14	1	1
sudoku	3	15	1	1
sudoku	3	16	1	1
sudoku	3	17	1	1
sudoku	3	18	1	1
sudoku	4	0	57555	2
sudoku	4	1	57555	2
sudoku	4	2	57555	2
sudoku	4	3	1256	4
sudoku	4	4	3	2
sudoku	4	5	3	2
sudoku	4	6	3	2
sudoku	4	7	3	2
sudoku	4	8	1	1
sudoku	4	9	1	1
sudoku	4	10	1	1
sudoku	4	11	1	1
sudoku	4	12	1	1
sudoku	4	13	1	1
sudoku	4	14	1	1
sudoku	4	15	1	1
sudoku	4	16	1	1
sudoku	4	17	1	1
sudoku	4	18	1	1
sudoku	5	0	1	1
sudoku	5	1	1	1
sudoku	5	2	1	1
sudoku	5	3	1	1
sudoku	5	4	1	1
sudoku	5	5	1	1
sudoku	5	6	1	1
sudoku	5	7	1	1
sudoku	5	8	1	1
sudoku	5	9	1	1
sudoku	5	10	1	1
sudoku	5	11	1	1
sudoku	5	12	1	1
sudoku	5	13	1	1
sudoku	5	14	1	1
sudoku	5	15	1	1
sudoku	5	16	1	1
sudoku	5	17	1	1
sudoku	5	18	1	1
sudoku	6	0	1	1
sudoku	6	1	1	1
sudoku	6	2	1	1
sudoku	6	3	1	1
sudoku	6	4	1	1
sudoku	6	5	1	1
sudoku	6	6	1	1
sudoku	6	7	1	1
sudoku	6	8	1	1
sudoku	6	9	1	1
sudoku	6	10	1	1
sudoku	6	11	1	1
sudoku	6	12	1	1
sudoku	6	13	1	1
sudoku	6	14	1	1
sudoku	6	15	1	1
sudoku	6	16	1	1
sudoku	6	17	1	1
sudoku	6	18	1	1
