test	layer	head	upper	lower
collatz	0	0	24070	2
collatz	0	1	24070	2
collatz	0	2	24070	2
collatz	0	3	24070	2
collatz	0	4	2	2
collatz	0	5	3	2
collatz	0	6	3	2
collatz	0	7	1	1
collatz	0	8	1	1
collatz	0	9	1	1
collatz	0	10	1	1
collatz	0	11	1	1
collatz	0	12	1	1
collatz	0	13	1	1
collatz	0	14	1	1
collatz	0	15	1	1
collatz	0	16	1	1
collatz	0	17	1	1
collatz	0	18	1	1
collatz	0	19	1	1
collatz	0	20	1	1
collatz	0	21	1	1
collatz	0	22	1	1
collatz	0	23	1	1
collatz	0	24	1	1
collatz	0	25	1	1
collatz	0	26	1	1
collatz	0	27	1	1
collatz	0	28	1	1
collatz	0	29	1	1
collatz	0	30	1	1
collatz	0	31	1	1
collatz	0	32	1	1
collatz	0	33	1	1
collatz	0	34	1	1
collatz	0	35	1	1
collatz	0	36	1	1
collatz	0	37	1	1
collatz	0	38	1	1
collatz	0	39	1	1
collatz	0	40	1	1
collatz	0	41	1	1
collatz	0	42	1	1
collatz	0	43	1	1
collatz	0	44	1	1
collatz	0	45	1	1
collatz	0	46	1	1
collatz	0	47	1	1
collatz	0	48	1	1
collatz	0	49	1	1
collatz	1	0	1	1
collatz	1	1	1	1
collatz	1	2	1	1
collatz	1	3	1	1
collatz	1	4	1	1
collatz	1	5	1	1
collatz	1	6	1	1
collatz	1	7	1	1
collatz	1	8	1	1
collatz	1	9	1	1
collatz	1	10	1	1
collatz	1	11	1	1
collatz	1	12	1	1
collatz	1	13	1	1
collatz	1	14	1	1
collatz	1	15	1	1
collatz	1	16	1	1
collatz	1	17	1	1
collatz	1	18	1	1
collatz	1	19	1	1
collatz	1	20	1	1
collatz	1	21	1	1
collatz	1	22	1	1
collatz	1	23	1	1
collatz	1	24	1	1
collatz	1	25	1	1
collatz	1	26	1	1
collatz	1	27	1	1
collatz	1	28	1	1
collatz	1	29	1	1
collatz	1	30	1	1
collatz	1	31	1	1
collatz	1	32	1	1
collatz	1	33	1	1
collatz	1	34	1	1
collatz	1	35	1	1
collatz	1	36	1	1
collatz	1	37	1	1
collatz	1	38	1	1
collatz	1	39	1	1
collatz	1	40	1	1
collatz	1	41	1	1
collatz	1	42	1	1
collatz	1	43	1	1
collatz	1	44	1	1
collatz	1	45	1	1
collatz	1	46	1	1
collatz	1	47	1	1
collatz	1	48	1	1
collatz	1	49	1	1
collatz	2	0	24070	2
collatz	2	1	24070	2
collatz	2	2	24070	2
collatz	2	3	24070	2
collatz	2	4	24070	2
collatz	2	5	24070	2
collatz	2	6	24070	2
collatz	2	7	24070	2
collatz	2	8	1	1
collatz	2	9	1	1
collatz	2	10	1	1
collatz	2	11	1	1
collatz	2	12	1	1
collatz	2	13	1	1
collatz	2	14	1	1
collatz	2	15	1	1
collatz	2	16	1	1
collatz	2	17	1	1
