test	layer	head	upper	lower
min_cost_matching	0	0	35708	2
min_cost_matching	0	1	35708	2
min_cost_matching	0	2	35708	2
min_cost_matching	0	3	35708	2
min_cost_matching	0	4	2	2
min_cost_matching	0	5	3	2
min_cost_matching	0	6	3	2
min_cost_matching	0	7	1	1
min_cost_matching	0	8	1	1
min_cost_matching	0	9	1	1
min_cost_matching	0	10	1	1
min_cost_matching	0	11	1	1
min_cost_matching	0	12	1	1
min_cost_matching	0	13	1	1
min_cost_matching	0	14	1	1
min_cost_matching	0	15	1	1
min_cost_matching	0	16	1	1
min_cost_matching	0	17	1	1
min_cost_matching	0	18	1	1
min_cost_matching	0	19	1	1
min_cost_matching	0	20	1	1
min_cost_matching	0	21	1	1
min_cost_matching	0	22	1	1
min_cost_matching	0	23	1	1
min_cost_matching	0	24	1	1
min_cost_matching	0	25	1	1
min_cost_matching	0	26	1	1
min_cost_matching	0	27	1	1
min_cost_matching	0	28	1	1
min_cost_matching	0	29	1	1
min_cost_matching	0	30	1	1
min_cost_matching	0	31	1	1
min_cost_matching	0	32	1	1
min_cost_matching	0	33	1	1
min_cost_matching	0	34	1	1
min_cost_matching	0	35	1	1
min_cost_matching	0	36	1	1
min_cost_matching	0	37	1	1
min_cost_matching	0	38	1	1
min_cost_matching	0	39	1	1
min_cost_matching	0	40	1	1
min_cost_matching	0	41	1	1
min_cost_matching	0	42	1	1
min_cost_matching	0	43	1	1
min_cost_matching	0	44	1	1
min_cost_matching	0	45	1	1
min_cost_matching	0	46	1	1
min_cost_matching	0	47	1	1
min_cost_matching	0	48	1	1
min_cost_matching	0	49	1	1
min_cost_matching	1	0	1	1
min_cost_matching	1	1	1	1
min_cost_matching	1	2	1	1
min_cost_matching	1	3	1	1
min_cost_matching	1	4	1	1
min_cost_matching	1	5	1	1
min_cost_matching	1	6	1	1
min_cost_matching	1	7	1	1
min_cost_matching	1	8	1	1
min_cost_matching	1	9	1	1
min_cost_matching	1	10	1	1
min_cost_matching	1	11	1	1
min_cost_matching	1	12	1	1
min_cost_matching	1	13	1	1
min_cost_matching	1	14	1	1
min_cost_matching	1	15	1	1
min_cost_matching	1	16	1	1
min_cost_matching	1	17	1	1
min_cost_matching	1	18	1	1
min_cost_matching	1	19	1	1
min_cost_matching	1	20	1	1
min_cost_matching	1	21	1	1
min_cost_matching	1	22	1	1
min_cost_matching	1	23	1	1
min_cost_matching	1	24	1	1
min_cost_matching	1	25	1	1
min_cost_matching	1	26	1	1
min_cost_matching	1	27	1	1
min_cost_matching	1	28	1	1
min_cost_matching	1	29	1	1
min_cost_matching	1	30	1	1
min_cost_matching	1	31	1	1
min_cost_matching	1	32	1	1
min_cost_matching	1	33	1	1
min_cost_matching	1	34	1	1
min_cost_matching	1	35	1	1
min_cost_matching	1	36	1	1
min_cost_matching	1	37	1	1
min_cost_matching	1	38	1	1
min_cost_matching	1	39	1	1
min_cost_matching	1	40	1	1
min_cost_matching	1	41	1	1
min_cost_matching	1	42	1	1
min_cost_matching	1	43	1	1
min_cost_matching	1	44	1	1
min_cost_matching	1	45	1	1
min_cost_matching	1	46	1	1
min_cost_matching	1	47	1	1
min_cost_matching	1	48	1	1
min_cost_matching	1	49	1	1
min_cost_matching	2	0	35708	2
min_cost_matching	2	1	35708	2
min_cost_matching	2	2	35708	2
min_cost_matching	2	3	35708	2
min_cost_matching	2	4	35708	2
min_cost_matching	2	5	35708	2
min_cost_matching	2	6	35708	2
min_cost_matching	2	7	35708	2
min_cost_matching	2	8	1	1
min_cost_matching	2	9	1	1
min_cost_matching	2	10	1	1
