config	prog	side	bucket	count	frac	n
default	collatz	upper	1..10	113	0.8496	133
default	collatz	upper	11..25	3	0.0226	133
default	collatz	upper	26..50	1	0.0075	133
default	collatz	upper	51..100	1	0.0075	133
default	collatz	upper	101..200	0	0.0000	133
default	collatz	upper	201..500	0	0.0000	133
default	collatz	upper	501..1000	0	0.0000	133
default	collatz	upper	1001..5000	0	0.0000	133
default	collatz	upper	>5000	15	0.1128	133
default	collatz	lower	1..10	133	1.0000	133
default	collatz	lower	11..25	0	0.0000	133
default	collatz	lower	26..50	0	0.0000	133
default	collatz	lower	51..100	0	0.0000	133
default	collatz	lower	101..200	0	0.0000	133
default	collatz	lower	201..500	0	0.0000	133
default	collatz	lower	501..1000	0	0.0000	133
default	collatz	lower	1001..5000	0	0.0000	133
default	collatz	lower	>5000	0	0.0000	133
default	collatz	both	1..10	246	0.9248	266
default	collatz	both	11..25	3	0.0113	266
default	collatz	both	26..50	1	0.0038	266
default	collatz	both	51..100	1	0.0038	266
default	collatz	both	101..200	0	0.0000	266
default	collatz	both	201..500	0	0.0000	266
default	collatz	both	501..1000	0	0.0000	266
default	collatz	both	1001..5000	0	0.0000	266
default	collatz	both	>5000	15	0.0564	266
default	min_cost_matching	upper	1..10	116	0.8722	133
default	min_cost_matching	upper	11..25	0	0.0000	133
default	min_cost_matching	upper	26..50	0	0.0000	133
default	min_cost_matching	upper	51..100	0	0.0000	133
default	min_cost_matching	upper	101..200	1	0.0075	133
default	min_cost_matching	upper	201..500	0	0.0000	133
default	min_cost_matching	upper	501..1000	1	0.0075	133
default	min_cost_matching	upper	1001..5000	0	0.0000	133
default	min_cost_matching	upper	>5000	15	0.1128	133
default	min_cost_matching	lower	1..10	133	1.0000	133
default	min_cost_matching	lower	11..25	0	0.0000	133
default	min_cost_matching	lower	26..50	0	0.0000	133
default	min_cost_matching	lower	51..100	0	0.0000	133
default	min_cost_matching	lower	101..200	0	0.0000	133
default	min_cost_matching	lower	201..500	0	0.0000	133
default	min_cost_matching	lower	501..1000	0	0.0000	133
default	min_cost_matching	lower	1001..5000	0	0.0000	133
default	min_cost_matching	lower	>5000	0	0.0000	133
default	min_cost_matching	both	1..10	249	0.9361	266
default	min_cost_matching	both	11..25	0	0.0000	266
