layer	projection	rows	cols	nnz	total	sparsity
0	qkv	114	38	51	4332	0.988227
0	out	38	38	12	1444	0.991690
0	fi	94	38	27	3572	0.992441
0	fo	38	47	9	1786	0.994961
1	qkv	114	38	26	4332	0.993998
1	out	38	38	8	1444	0.994460
1	fi	94	38	12	3572	0.996641
1	fo	38	47	6	1786	0.996641
2	qkv	114	38	72	4332	0.983380
2	out	38	38	14	1444	0.990305
2	fi	94	38	77	3572	0.978443
2	fo	38	47	18	1786	0.989922
3	qkv	114	38	97	4332	0.977608
3	out	38	38	18	1444	0.987535
3	fi	94	38	79	3572	0.977884
3	fo	38	47	24	1786	0.986562
4	qkv	114	38	70	4332	0.983841
4	out	38	38	12	1444	0.991690
4	fi	94	38	89	3572	0.975084
4	fo	38	47	26	1786	0.985442
5	qkv	114	38	0	4332	1.000000
5	out	38	38	0	1444	1.000000
5	fi	94	38	208	3572	0.941769
5	fo	38	47	49	1786	0.972564
6	qkv	114	38	0	4332	1.000000
6	out	38	38	0	1444	1.000000
6	fi	94	38	83	3572	0.976764
6	fo	38	47	27	1786	0.984882
