layer	projection	rows	cols	nnz	total	sparsity
0	qkv	114	38	51	4332	0.988227
0	out	38	38	12	1444	0.991690
0	fi	82	38	35	3116	0.988768
0	fo	38	41	11	1558	0.992940
1	qkv	114	38	26	4332	0.993998
1	out	38	38	8	1444	0.994460
1	fi	82	38	12	3116	0.996149
1	fo	38	41	6	1558	0.996149
2	qkv	114	38	83	4332	0.980840
2	out	38	38	16	1444	0.988920
2	fi	82	38	69	3116	0.977856
2	fo	38	41	16	1558	0.989730
3	qkv	114	38	86	4332	0.980148
3	out	38	38	16	1444	0.988920
3	fi	82	38	79	3116	0.974647
3	fo	38	41	24	1558	0.984596
4	qkv	114	38	70	4332	0.983841
4	out	38	38	12	1444	0.991690
4	fi	82	38	89	3116	0.971438
4	fo	38	41	26	1558	0.983312
5	qkv	114	38	0	4332	1.000000
5	out	38	38	0	1444	1.000000
5	fi	82	38	188	3116	0.939666
5	fo	38	41	43	1558	0.972401
6	qkv	114	38	0	4332	1.000000
6	out	38	38	0	1444	1.000000
6	fi	82	38	97	3116	0.968870
6	fo	38	41	27	1558	0.982670
