binary	prog	seq_tok	seq_ops	seq_s	seq_tok_s	bt_s	bt_tok_s	bt_speedup	bt_spot_ok	passed	rc	gf_per_tok	eff_gflops_seq	eff_gflops_bt
transformer_naive	hello	1034	149	0.05	21601.0	0.037	28053.0	1.3	True	True	0	0.000184	3.9737	5.1607
transformer_sparse	hello	1034	149	0.02	50504.0	0.037	28210.0	0.56	True	True	0	0.000030	1.5306	0.8550
transformer_blas	hello	1034	149	0.03	36453.0	0.009	111371.0	3.06	True	True	0	0.000184	6.7059	20.4879
transformer_blas_nobypass	hello	1034	149	0.03	33308.0	0.011	92200.0	2.77	True	True	0	0.000184	6.1274	16.9612
transformer_naive	addition	4362	718	0.21	21141.0	0.164	26579.0	1.26	True	True	0	0.000188	3.9825	5.0070
transformer_sparse	addition	4362	718	0.09	47790.0	0.162	26919.0	0.56	True	True	0	0.000035	1.6596	0.9348
transformer_blas	addition	4362	718	0.13	33285.0	0.042	103529.0	3.11	True	True	0	0.000188	6.2702	19.5028
transformer_blas_nobypass	addition	4362	718	0.13	32398.0	0.047	91921.0	2.84	True	True	0	0.000188	6.1031	17.3161
transformer_naive	fibonacci	9104	892	0.42	21588.0	0.365	24974.0	1.16	True	True	0	0.000191	4.1155	4.7610
transformer_sparse	fibonacci	9104	892	0.18	51266.0	0.352	25874.0	0.5	True	True	0	0.000037	1.8961	0.9570
transformer_blas	fibonacci	9104	892	0.26	34771.0	0.098	93078.0	2.68	True	True	0	0.000191	6.6287	17.7443
transformer_blas_nobypass	fibonacci	9104	892	0.26	34582.0	0.108	84305.0	2.44	True	True	0	0.000191	6.5927	16.0718
transformer_naive	collatz	44589	9009	2.2	20291.0	1.845	24174.0	1.19	True	True	0	0.000196	3.9672	4.7264
transformer_sparse	collatz	44589	9009	1.02	43676.0	1.881	23707.0	0.54	True	True	0	0.000042	1.8284	0.9924
transformer_blas	collatz	44589	9009	1.41	31567.0	0.467	95497.0	3.03	True	True	0	0.000196	6.1719	18.6713
transformer_blas_nobypass	collatz	44589	9009	1.49	29919.0	0.658	67760.0	2.26	True	True	0	0.000196	5.8497	13.2482
transformer_naive	min_cost_matching	178226	36617	9.02	19752.0	8.723	20432.0	1.03	True	True	0	0.000200	3.9459	4.0817
transformer_sparse	min_cost_matching	178226	36617	4.27	41763.0	8.49	20991.0	0.5	True	True	0	0.000046	1.9260	0.9680
transformer_blas	min_cost_matching	178226	36617	5.84	30536.0	2.756	64664.0	2.12	True	True	0	0.000200	6.1002	12.9180
transformer_blas_nobypass	min_cost_matching	178226	36617	6.1	29218.0	3.235	55092.0	1.89	True	True	0	0.000200	5.8369	11.0058
